Sample,Location,Latitude,Longitude,Elevation,Depth,Datum,Survey,Start Date,End Date
WI094,MC01,-37.5224471462,177.188049961,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI095,MC01,-37.5225182817,177.186615912,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI096,MC01,-37.5222608383,177.186748106,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI097,MC01,-37.5222662882,177.187088156,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI098,MC01,-37.5222258995,177.187448178,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI099,MC01,-37.5222231841,177.187765102,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI100,MC01,-37.5258858363,177.19139904,0,,WGS84,External GPS Device,1967-11-01T00:00:00Z,2012-12-10T00:00:00Z
WI101,MC01,-37.5250484154,177.189900538,2,,WGS84,External GPS Device,1967-07-12T00:00:00Z,2012-12-10T00:00:00Z
WI102,MC01,-37.5236877091,177.188405495,5,,WGS84,External GPS Device,1967-07-10T00:00:00Z,2012-12-10T00:00:00Z
WI103,MC01,-37.5235240259,177.187954281,7,,WGS84,External GPS Device,1978-12-07T00:00:00Z,1996-05-14T00:00:00Z
WI103,MC02,-37.5235240259,177.187954281,9,,WGS84,External GPS Device,1996-11-04T00:00:00Z,1999-11-23T00:00:00Z
WI103,MC03,-37.5235240259,177.187954281,10,,WGS84,External GPS Device,2000-02-14T00:00:00Z,2012-12-10T00:00:00Z
WI104,MC01,-37.5233871364,177.187753773,8,,WGS84,External GPS Device,1978-12-07T00:00:00Z,2000-04-18T00:00:00Z
WI104,MC02,-37.5234179028,177.187653647,10,,WGS84,External GPS Device,2000-08-24T00:00:00Z,2012-12-10T00:00:00Z
WI105,MC01,-37.5224479753,177.187540411,8,,WGS84,External GPS Device,1967-07-12T00:00:00Z,2012-12-10T00:00:00Z
WI106,MC01,-37.521569723,177.187387232,14,,WGS84,External GPS Device,1979-04-21T00:00:00Z,2012-12-10T00:00:00Z
WI107,MC01,-37.5208746255,177.187890223,8,,WGS84,External GPS Device,1969-12-05T00:00:00Z,1976-12-13T00:00:00Z
WI107,MC02,-37.5208746255,177.187890223,10,,WGS84,External GPS Device,1981-12-02T00:00:00Z,2012-12-10T00:00:00Z
WI108,MC01,-37.5216247914,177.18906644,7,,WGS84,External GPS Device,1967-07-12T00:00:00Z,1976-12-13T00:00:00Z
WI108,MC02,-37.5216247914,177.18906644,8,,WGS84,External GPS Device,1979-11-28T00:00:00Z,2012-12-10T00:00:00Z
WI109,MC01,-37.5228818864,177.189706065,5,,WGS84,External GPS Device,1967-07-12T00:00:00Z,1976-12-13T00:00:00Z
WI109,MC02,-37.5228818864,177.189706065,8,,WGS84,External GPS Device,1978-12-07T00:00:00Z,2012-12-10T00:00:00Z
WI110,MC01,-37.523311773,177.192222572,3,,WGS84,External GPS Device,1967-07-12T00:00:00Z,2012-12-10T00:00:00Z
WI111,MC01,-37.524695487,177.192609196,0,,WGS84,External GPS Device,1967-07-12T00:00:00Z,2012-12-10T00:00:00Z
WI112,MC01,-37.5231097841,177.186718377,13,,WGS84,External GPS Device,1967-07-12T00:00:00Z,1977-01-25T00:00:00Z
WI112,MC02,-37.5231097841,177.186718377,15,,WGS84,External GPS Device,1981-09-18T00:00:00Z,1998-08-31T00:00:00Z
WI112,MC03,-37.5231097841,177.186718377,16,,WGS84,External GPS Device,1999-11-23T00:00:00Z,2012-12-10T00:00:00Z
WI113,MC01,-37.5230168539,177.186792225,15,,WGS84,External GPS Device,1981-09-18T00:00:00Z,2012-12-10T00:00:00Z
WI114,MC01,-37.522662703,177.186613016,16,,WGS84,External GPS Device,1981-12-02T00:00:00Z,1998-08-04T00:00:00Z
WI114,MC02,-37.522662703,177.186613016,18,,WGS84,External GPS Device,2000-02-14T00:00:00Z,2012-12-10T00:00:00Z
WI115,MC01,-37.5224079722,177.186428285,20,,WGS84,External GPS Device,1992-12-08T00:00:00Z,1996-04-18T00:00:00Z
WI115,MC02,-37.5224079722,177.186428285,18,,WGS84,External GPS Device,1999-11-23T00:00:00Z,2012-12-10T00:00:00Z
WI116,MC01,-37.5215648956,177.186786763,16,,WGS84,External GPS Device,1967-07-12T00:00:00Z,1976-12-13T00:00:00Z
WI116,MC02,-37.5215648956,177.186786763,21,,WGS84,External GPS Device,1984-02-17T00:00:00Z,1988-12-02T00:00:00Z
WI116,MC03,-37.5215648956,177.186786763,21,,WGS84,External GPS Device,1989-07-31T00:00:00Z,2012-12-10T00:00:00Z
WI117,MC01,-37.521747612,177.186480346,10,,WGS84,External GPS Device,1967-07-12T00:00:00Z,1976-12-13T00:00:00Z
WI117,MC02,-37.521747612,177.186480346,17,,WGS84,External GPS Device,1981-12-02T00:00:00Z,2012-12-10T00:00:00Z
WI118,MC01,-37.5213055748,177.187213275,14,,WGS84,External GPS Device,1981-09-18T00:00:00Z,2012-12-10T00:00:00Z
WI119,MC01,-37.5208040492,177.186142183,20,,WGS84,External GPS Device,1986-10-29T00:00:00Z,1987-06-11T00:00:00Z
WI119,MC02,-37.5208040492,177.186142183,23,,WGS84,External GPS Device,1988-06-15T00:00:00Z,2000-04-18T00:00:00Z
WI119,MC03,-37.5208040492,177.186142183,23,,WGS84,External GPS Device,2000-09-19T00:00:00Z,2012-12-10T00:00:00Z
WI120,MC01,-37.5210181785,177.186449106,19,,WGS84,External GPS Device,1992-05-13T00:00:00Z,2000-04-18T00:00:00Z
WI120,MC02,-37.5210181785,177.186449106,21,,WGS84,External GPS Device,2000-09-19T00:00:00Z,2012-12-10T00:00:00Z
WI121,MC01,-37.5211339384,177.186976774,16,,WGS84,External GPS Device,1969-12-05T00:00:00Z,1976-12-13T00:00:00Z
WI121,MC02,-37.5211339384,177.186976774,17,,WGS84,External GPS Device,1981-09-18T00:00:00Z,2000-04-18T00:00:00Z
WI121,MC03,-37.5211339384,177.186976774,19,,WGS84,External GPS Device,2000-09-19T00:00:00Z,2012-12-10T00:00:00Z
WI122,MC01,-37.5204243819,177.186652263,22,,WGS84,External GPS Device,1997-01-31T00:00:00Z,2000-04-18T00:00:00Z
WI122,MC02,-37.5204243819,177.186652263,23,,WGS84,External GPS Device,2000-09-19T00:00:00Z,2012-12-10T00:00:00Z
WI150,MC01,-37.5219450154,177.187726217,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI151,MC01,-37.5219933542,177.187151497,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI152,MC01,-37.5220140682,177.186835624,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI153,MC01,-37.5217836251,177.186969392,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI154,MC01,-37.521777564,177.187376714,0,,WGS84,External GPS Device,2016-11-09T00:00:00Z,2019-12-04T00:00:00Z
WI200,MC01,-37.522837,177.185932,15,,WGS84,External GPS Device,1995-11-15T00:00:00Z,2019-12-04T00:00:00Z
WI210,MC01,-37.5239,177.188,20,,WGS84,External GPS Device,2003-04-08T00:00:00Z,2019-12-04T00:00:00Z
WI211,MC01,-37.5217,177.1837,-5,,WGS84,External GPS Device,2014-01-15T00:00:00Z,2018-07-18T00:00:00Z
WI220,MC01,-37.526413,177.191769,1,,WGS84,External GPS Device,2011-03-11T00:00:00Z,2018-07-18T00:00:00Z
WI220,MC02,-37.524239,177.190057,1,,WGS84,External GPS Device,2004-08-03T00:00:00Z,2008-02-21T00:00:00Z
WI220,MC03,-37.524196,177.189998,1,,WGS84,External GPS Device,2004-10-15T00:00:00Z,2004-10-15T00:00:00Z
WI221,MC01,-37.525391,177.190384,4,,WGS84,External GPS Device,1995-11-15T00:00:00Z,2007-07-25T00:00:00Z
WI221,MC02,-37.525391,177.190384,4,,WGS84,External GPS Device,2005-03-08T00:00:00Z,2013-07-09T00:00:00Z
WI221,MC03,-37.525443,177.190444,4,,WGS84,External GPS Device,2015-02-25T00:00:00Z,2019-10-09T00:00:00Z
WI221,MC04,-37.525443,177.190444,4,,WGS84,External GPS Device,2014-01-16T00:00:00Z,2015-09-30T00:00:00Z
WI222,MC01,-37.523359,177.188748,8,,WGS84,External GPS Device,2004-09-17T00:00:00Z,2015-02-25T00:00:00Z
WI223,MC01,-37.524153,177.188013,8,,WGS84,External GPS Device,2005-08-26T00:00:00Z,2013-07-09T00:00:00Z
WI224,MC01,-37.523392,177.186082,10,,WGS84,External GPS Device,2005-11-08T00:00:00Z,2012-06-11T00:00:00Z
WI225,MC01,-37.52382,177.187982,10,,WGS84,External GPS Device,2009-08-12T00:00:00Z,2019-06-29T00:00:00Z
WI225,MC02,-37.52382,177.187982,10,,WGS84,External GPS Device,2009-11-20T00:00:00Z,2016-11-09T00:00:00Z
WI226,MC01,-37.523597,177.188649,8,,WGS84,External GPS Device,2004-08-03T00:00:00Z,2014-03-28T00:00:00Z
WI227,MC01,-37.52188,177.189942,9,,WGS84,External GPS Device,2007-04-01T00:00:00Z,2019-06-29T00:00:00Z
WI228,MC01,-37.520946,177.186671,24,,WGS84,External GPS Device,2017-06-29T00:00:00Z,2017-06-29T00:00:00Z
