Station,Vs30,Tsite,Zb,Q_Vs30,Q_Tsite,D_Tsite,Q_Zb,References,Notes
LHUS,212,2,225,Q1,Q3,I,Q3,"Perrin, N.D. et al. (2015); Unpublished ReMi (Kaiser & Louie); Boon, D.P. et al. (2010)",
LINC,210,>2,330,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
LIRS,400,0.25,12,Q3,Q1,Mw,Q2,Unpublished HVSR (A. Kaiser),
LNBS,330,0.8,100,Q2,Q3,I,Q3,"Perrin, N.D. et al. (2015); Boon, D.P. et al. (2010)",Nearby unpublished ReMi (Kaiser & Louie)
LPCC,760,0.15,5,Q3,Q2,Mw,Q3,"Kaiser, A.E. et al. (2013); Van Houtte, C. et al. (2012)",
LPLS,400,0.71,70,Q3,Q1,Mw,Q3,Unpublished HVSR (C. Van Houtte),
LPOC,210,1.2,100,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
LRSC,270,>2,950,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
LRSS,230,1.4,175,Q3,Q3,I,Q3,,see 711A
LSRC,270,1,80,Q3,Q3,Mw,Q3,"Kaiser, A.E. et al. (2013); Perrin, N.D. et al. (2015)",
LTZ,1000,0.6,0,Q3,Q3,Mw,Q2,"Kaiser, A.E. et al. (2013); Perrin, N.D. et al. (2015)",
MANS,1500,-1,0,Q3,Q3,I,Q3,,
MAVS,390,1,450,Q3,Q3,Mw,Q3,"Perrin, N.D. et al. (2015); Cousins, W.J. et al. (1996); Unpublished HVSR (A. Kaiser)",
MAYC,270,>2,500,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
MCAS,501,1.6,200,Q3,Q3,Mw,Q3,Unpublished HVSR (C. Van Houtte); McVerry G.H. (2011),at 129A
MCNS,270,0.4,30,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
MCPS,270,0.6,330,Q3,Q3,Mw,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
MECS,270,0.4,30,Q3,Q3,I,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
MENS,690,<0.1,5,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
MGCS,210,1,70,Q3,Q3,Mw,Q3,"Unpublished HVSR (A. Kaiser & C. Van Houtte); Perrin, N.D. et al. (2015)",
MISS,200,1,60,Q1,Q1,Mw,Q1,Unpublished HVSR (C. Van Houtte),
MKBS,1000,0,0,Q3,Q2,Mn,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (A. Kaiser)",
MKVS,480,0.17,12,Q3,Q3,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (A. Kaiser)",
MLZ,1100,-1,0,Q3,Q1,Mn,Q1,Unpublished HVSR (C. Van Houtte),
MMCS,210,>2,2000,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Cousins, W.J. et al. (1996)",
MNGS,270,0.8,80,Q3,Q2,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
MNZS,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
MOLS,700,0.2,5,Q3,Q2,Mw,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
MORS,210,>2,500,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
MOSS,400,0.4,40,Q3,Q3,Mw,Q3,McVerry G.H. (2011); Unpublished HVSR (C. Van Houtte),
MOTS,300,1.27,300,Q3,Q3,I,Q3,McVerry G.H. (2011); Unpublished HVSR (C. Van Houtte),
MPSS,210,>2,500,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
MQZ,1000,0.1,0,Q3,Q2,Mw,Q3,"Kaiser, A.E. et al. (2013); Van Houtte, C. et al. (2012)",
MRSS,210,>2,500,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
MRZ,800,0.33,0,Q3,Q2,Mw,Q1,Unpublished HVSR (C. Van Houtte),
MSMC,270,0.8,80,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
MSZ,1500,-1,0,Q3,Q1,Mn,Q1,Unpublished HVSR (C. Van Houtte),
MSZS,1100,0.33,3,Q3,Q2,Mw,Q2,Unpublished HVSR (C. Van Houtte),conflicts exist
MTHS,210,>2,510,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
MTHZ,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
MTPS,1000,-1,3,Q3,Q2,Mn,Q3,,see D15C
MWDS,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
MWFS,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",conflicts exist with Cousins et al. 1996
MWZ,1000,-1,0,Q3,Q1,Mn,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
MXZ,1000,-1,0,Q3,Q1,Mn,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
NAAS,150,2,200,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
NAMS,268,0.4,20,Q3,Q3,I,Q3,McVerry G.H. (2011); Unpublished HVSR (C. Van Houtte),
NBLC,189,3.8,590,Q1,Q2,Ma,Q3,"Wotherspoon, L. et al. (2014); Wotherspoon, L. et al. (2015); Lee, R.L. et al. (2015)",
NBSS,190,0.9,50,Q1,Q1,Ms,Q3,"Unpublished ReMi data (GNS, A. Kaiser & J. Louie); Unpublished HVSR (A. Kaiser)",
NCBS,210,0.7,50,Q3,Q2,Mw,Q3,,see 046A
NCDS,162,1.25,110,Q3,Q2,I,Q3,Unpublished HVSR (C. Van Houtte),
NCHS,200,2.2,200,Q3,Q3,Mw,Q3,Unpublished HVSR (C. Van Houtte),
NELS,1000,0.8,3,Q3,Q2,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte & A. Kaiser)",
NEWS,1000,0,0,Q3,Q2,Mn,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (A. Kaiser)",conflicts exist with Cousins et al. 1996
NGHS,800,0.23,7,Q3,Q3,Mw,Q3,Unpublished HVSR (C. Van Houtte),
NLMS,460,0.22,20,Q3,Q1,Ms,Q3,Unpublished HVSR (C. Van Houtte & A. Kaiser),
NMPS,900,-1,7,Q3,Q2,Mn,Q3,Unpublished HVSR (C. Van Houtte),
NNBS,204,4.9,680,Q1,Q2,Ma,Q3,"Wotherspoon, L. et al. (2014); Wotherspoon, L. et al. (2015); Lee, R.L. et al. (2015)",
NNZ,1100,-1,0,Q3,Q1,Mn,Q3,Unpublished HVSR (C. Van Houtte),
NPCS,350,1.3,200,Q3,Q3,Mw,Q3,Unpublished HVSR (C. Van Houtte),
NSBS,210,1,100,Q3,Q1,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
NSPS,900,1,2,Q3,Q2,Mw,Q3,"Unpublished HVSR (C. Van Houtte); Cousins, W.J. et al. (1996)",
NWFS,800,<0.1,7,Q3,Q3,I,Q3,"Cousins, W.J. et al. (1996)",
NZAS,210,0.8,60,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
OAMS,312,0.38,30,Q3,Q3,I,Q3,McVerry G.H. (2011),
ODZ,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
OHSS,210,>2,500,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
OPCS,210,1,75,Q3,Q3,Mw,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
OPSS,270,0.4,40,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
OPWS,210,0.7,50,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
OPZ,1500,-1,0,Q3,Q1,Mn,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
ORCS,350,1,100,Q3,Q1,Mw,Q3,Unpublished HVSR (C. Van Houtte),
OTKS,210,2,180,Q3,Q1,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
OXZ,1000,0.9,0,Q3,Q1,Mw,Q3,"Perrin, N.D. et al. (2015); Kaiser, A.E. et al. (2013)",
PAPS,200,1.4,100,Q3,Q1,Mw,Q3,Unpublished HVSR (C. Van Houtte),
PARS,760,0.8,0,Q3,Q1,Mw,Q3,"Kaiser, A.E. et al. (2013); Kaiser, A.E. et al. (2014)",
PEEC,425,0.6,60,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",some conflicts with Cousins et al. 1996
PFAS,900,0.13,0,Q3,Q1,Ms,Q2,Unpublished HVSR (C. Van Houtte),
PGFS,210,0.67,50,Q3,Q1,Ms,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
PGMS,200,2,250,Q2,Q2,Ms,Q3,"Unpublished ReMi data (GNS, A. Kaiser & J. Louie); Unpublished HVSR (C. Van Houtte); Boon, D.P. et al. (2010)",
PHFS,1000,0.25,0,Q3,Q3,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
PHHS,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
PIPS,210,>2,250,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Semmens, S. et al. (2010)",
PKIS,330,0.8,100,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",conflicts exist with Cousins et al. 1996
PNBS,270,0.75,60,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
PNMS,210,1.2,100,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
PNRS,270,0.75,60,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
POKS,330,0.25,20,Q3,Q2,Ms,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (A. Kaiser)",
POLS,275,0.4,25,Q3,Q1,Ms,Q2,Unpublished HVSR (C. Van Houtte); McVerry G.H. (2011),at 708A
POTS,1000,-1,0,Q3,Q1,Mn,Q2,Unpublished HVSR (A. Kaiser),
PPHS,180,5.9,670,Q1,Q2,Ma,Q3,"Wotherspoon, L. et al. (2014); Wotherspoon, L. et al. (2015); Lee, R.L. et al. (2015)",
PRKS,190,0.9,70,Q2,Q1,Ms,Q2,"Unpublished HVSR (A. Kaiser); Kaiser, A., & Louie, J. (2006)",
PRPC,196,>2,470,Q1,Q3,Ma,Q3,"Wotherspoon, L. et al. (2014); Wotherspoon, L. et al. (2015); Lee, R.L. et al. (2015)",
PTOS,450,0.2,10,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",some conflicts with Cousins et al. 1996
PUZ,1000,0.4,0,Q3,Q3,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
PVCS,190,2,280,Q2,Q3,I,Q3,"Boon, D.P. et al. (2010); Perrin, N.D. et al. (2015); Unpublished ReMi (Kaiser & Louie)",
PWES,1000,<0.1,5,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",conflicts with Cousins et al.
PWZ,1000,0.5,0,Q3,Q3,I,Q3,,see PXZ
PXZ,1000,0.5,0,Q3,Q2,Ms,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
PYZ,1000,0.4,0,Q3,Q2,Mu,Q3,"Unpublished HVSR (C. Van Houtte); Perrin, N.D. et al. (2015)",
QCCS,270,0.28,20,Q3,Q1,Ms,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (A. Kaiser & C. Van Houtte)",
QRZ,1000,-1,0,Q3,Q1,Mn,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
QTPS,350,0.95,90,Q3,Q1,Mw,Q3,Unpublished HVSR (C. Van Houtte); McVerry G.H. (2011),at 940A
RCBS,800,0.5,8,Q3,Q3,Mw,Q2,"Massey, C.I. et al. (2016); Kaiser, A.E. et al. (2014)",
RCS1,270,1.1,100,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
RDCS,270,0.22,20,Q3,Q2,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
REHS,155,>2,640,Q1,Q3,Ms,Q3,"Wotherspoon, L. et al. (2014); Wotherspoon, L. et al. (2015); Kaiser, A.E. et al. (2013); Lee, R.L. et al. (2015)",
RHBS,900,0.45,9,Q3,Q3,Mw,Q2,"Massey, C.I. et al. (2016); Kaiser, A.E. et al. (2014)",
RHSC,286,5.2,440,Q1,Q2,Ma,Q3,"Wotherspoon, L. et al. (2014); Wotherspoon, L. et al. (2015); Lee, R.L. et al. (2015)",
RKAC,210,>2,810,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
ROLC,210,>2,400,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
ROPS,210,0.8,60,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Cousins, W.J. et al. (1996)",
RPCS,210,>2,300,Q3,Q3,I,Q3,,conflicts exist with Perrin et al. 2015
RPZ,1000,-1,0,Q3,Q1,Mn,Q3,"Unpublished HVSR (C. Van Houtte); Kaiser, A.E. et al. (2013)",
RQGS,246,0.6,46,Q1,Q1,Mu,Q1,"Semmens, S. et al. (2010); Taber, J.J., & Richardson, W.P. (1992); Unpublished ReMi (Kaiser & Louie)",
RRKS,270,0.9,80,Q3,Q2,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
RTZ,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
RUAS,270,0.5,40,Q3,Q3,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
SACS,210,>2,500,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
SBRC,210,>2,420,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
SCAC,270,0.9,70,Q3,Q2,Mw,Q3,"Perrin, N.D. et al. (2015); Kaiser, A.E. et al. (2013)",
SEAS,210,0.3,30,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
SECF,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
SEDS,270,1,50,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",was RCS2
SEVS,210,1.1,100,Q3,Q2,Ms,Q3,"Unpublished HVSR (A. Kaiser); Boon, D.P. et al. (2010)",
SHFC,270,0.9,80,Q3,Q2,Mw,Q3,"Kaiser, A.E. et al. (2013); Dorn, C. et al. (2010)",
SHLC,201,>2,680,Q1,Q3,I,Q3,"Wotherspoon, L. et al. (2014); Wotherspoon, L. et al. (2015); Lee, R.L. et al. (2015)",
SJFS,465,0.23,20,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); McVerry G.H. (2011); Unpublished HVSR (C. Van Houtte) (conflicts exist)",
SKFS,140,0.8,25,Q2,Q3,I,Q3,"Stephenson, W.R., & Barker, P.R. (1999); Barker, P.R. (1996)",
SLRC,210,>2,360,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
SMHS,270,1.5,150,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
SMTC,219,6.3,720,Q1,Q2,Ma,Q3,"Wotherspoon, L. et al. (2014); Wotherspoon, L. et al. (2015); Lee, R.L. et al. (2015)",
SNZO,1000,-1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
SOCS,300,1.2,140,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Boon, D.P. et al. (2010)",
SOMS,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
SPFS,270,0.7,50,Q3,Q1,Ms,Q3,"Perrin, N.D. et al. (2015); Kaiser, A.E. et al. (2013)",
SPRS,270,0.8,60,Q3,Q2,Ms,Q3,"Perrin, N.D. et al. (2015); Kaiser, A.E. et al. (2013)",
STAS,150,>2,500,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
STKS,1000,0.3,0,Q3,Q2,Mw,Q3,,see D13C
SUMS,1000,0.11,6,Q3,Q2,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (A. Kaiser)",
SWNC,270,>2,410,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
SYZ,400,0.2,15,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",conflicts exist with Cousins et al. 1996
TAFS,298,1.4,200,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); McVerry G.H. (2011); Unpublished HVSR (C. Van Houtte)",
TAIS,250,0.6,70,Q3,Q2,Mw,Q3,"Boon, D.P. et al. (2010); Unpublished HVSR (A. Kaiser)",
TBAS,210,1.1,80,Q3,Q1,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
TBCS,230,1.4,120,Q3,Q3,I,Q3,,see 933B conflicts with Perrin et al. 2015
TCW,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
TDHS,210,0.8,50,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
TEPS,267,1.2,120,Q1,Q1,Ms,Q2,"McVerry G.H. (2011); Semmens, S. et al. (2010); Unpublished ReMi data (A. Kaiser & J. Louie); Unpublished HVSR (A. Kaiser & C. Van Houtte)",
TFSS,274,1.3,110,Q1,Q2,Mw,Q2,"McVerry G.H. (2011); Semmens, S. et al. (2010); Unpublished ReMi data (A. Kaiser & J. Louie), Unpublished HVSR (C. Van Houtte)",
THHS,425,0.6,60,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",conflicts with Cousins et al.
THPS,270,1,80,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",conflicts with Cousins et al.
THZ,1000,-1,0,Q3,Q1,Mn,Q3,Unpublished HVSR (C. Van Houtte),
TIRS,600,0.1,10,Q3,Q3,I,Q3,"Cousins, W.J. et al. (1996)",
TKAS,210,0.6,60,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",some conflicts with Cousins et al. 1996
TKHS,210,0.6,40,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",some conflicts with Cousins et al. 1996
TMBS,330,0.1,5,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
TMDS,800,0.35,10,Q3,Q2,Mw,Q3,Unpublished HVSR (C. Van Houtte),
TMHS,690,0.1,20,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
TOKS,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
TOTS,210,1,100,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
TOZ,1000,<0.1,0,Q3,Q3,I,Q3,,
TPLC,210,>2,440,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
TPPS,454,0.15,10,Q3,Q3,Mw,Q3,McVerry G.H. (2011); Unpublished HVSR (C. Van Houtte),
TRCS,690,0.15,25,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
TRMS,900,<0.1,2,Q3,Q3,I,Q3,,see EKS1
TRTS,400,0.2,10,Q3,Q3,I,Q2,"Semmens, S. et al. (2010)",
TSFS,1000,0.38,0,Q3,Q2,Ms,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
TSZ,800,0.4,0,Q3,Q1,Mw,Q3,"Cousins, W.J. et al. (1996); Unpublished HVSR (C. Van Houtte)",
TTHS,210,1,80,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
TUDS,600,0.1,7,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Cousins, W.J. et al. (1996)",some conflicts
TUHS,1000,0.6,0,Q3,Q3,Ms,Q3,Unpublished HVSR (C. Van Houtte),conflicts exist with Cousins et al. 1996
TUZ,1000,-1,0,Q3,Q1,Mn,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
TWAS,210,2,150,Q3,Q3,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
UHCS,210,2,120,Q3,Q2,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
UHSS,210,0.6,60,Q3,Q3,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (A. Kaiser)",
URZ,1000,-1,0,Q3,Q1,Mn,Q3,Unpublished HVSR (C. Van Houtte),conflicts with Perrin et al. 2015
UTKS,270,0.6,60,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",conflicts with Cousins et al.
VRZ,1000,-1,0,Q3,Q1,Mn,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
VUWS,250,0.8,80,Q2,Q2,Mw,Q3,"Semmens, S. et al. (2010); Unpublished HVSR (A. Kaiser); Unpublished ReMi (Kaiser & Louie)",
WAIS,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",conflicts exist with Cousins et al. 1996
WAKC,270,0.8,70,Q3,Q3,Ms,Q3,"Kaiser, A.E. et al. (2013); Perrin, N.D. et al. (2015)",
WAKS,555,0.1,6,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Cousins, W.J. et al. (1996)",some conflicts with Cousins et al. 1996
WANS,1000,0.2,0,Q3,Q2,Ms,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (A. Kaiser)",
WAZ,690,0.1,6,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
WBCS,300,1.2,105,Q3,Q2,Mw,Q3,McVerry G.H. (2011); Unpublished HVSR (C. Van Houtte); McVerry G.H. (2011),at 051B
WBFS,800,<0.1,3,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Cousins, W.J. et al. (1996)",conflicts exist
WCDS,250,1,100,Q3,Q1,Mw,Q3,Unpublished HVSR (C. Van Houtte),
WCSS,270,1,90,Q3,Q3,Mw,Q3,"Kaiser, A.E. et al. (2013); Cousins, W.J. et al. (1996)",some conflicts with Perrin et al. 2015
WDAS,120,1.6,62,Q1,Q2,Mu,Q2,"Stephenson, W.R., & Barker, P.R. (1992); Unpublished ReMi (Kaiser & Louie)",
WDFS,270,70,60,Q3,Q3,Mn,Q3,"Unpublished HVSR (A. Kaiser); Perrin, N.D. et al. (2015)",some conflicts with Cousins et al. 1996
WDPS,270,1,100,Q3,Q3,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",see site 120A/B
WEL,1000,0.3,0,Q3,Q1,Mw,Q2,"Perrin, N.D. et al. (2015); Unpublished HVSR (A. Kaiser & C. Van Houtte)",
WEMS,265,0.8,80,Q1,Q2,Mw,Q2,"Semmens, S. et al. (2010); Unpublished HVSR (C. Van Houtte); Unpublished ReMi (Kaiser & Louie)",
WFSS,155,1.5,100,Q3,Q3,I,Q3,,see 096A
WHAS,270,0.4,40,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
WHFS,210,0.6,60,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
WHZ,1000,0.13,0,Q3,Q1,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
WICS,155,1.5,100,Q3,Q3,I,Q3,,see 096A
WIGC,270,1.2,100,Q3,Q2,Mw,Q3,"Perrin, N.D. et al. (2015); Kaiser, A.E. et al. (2013)",
WKHS,210,0.71,100,Q3,Q2,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (C. Van Houtte)",
WKZ,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
WNAS,239,0.78,64,Q2,Q2,Mw,Q2,McVerry G.H. (2011); Unpublished HVSR (C. Van Houtte),
WNHS,1000,<0.1,3,Q3,Q3,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (A. Kaiser & C. Van Houtte)",
WNKS,270,0.38,50,Q3,Q1,Ms,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (A. Kaiser & C. Van Houtte)",
WNPS,330,2.1,300,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
WPWS,270,0.4,20,Q3,Q3,I,Q3,McVerry G.H. (2011),"at 032A, some conflicts with Perrin et al. 2015"
WRCS,270,1,100,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
WSFC,270,>2,790,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015); Lee, R.L. et al. (2015)",
WTMC,210,0.6,60,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",some conflicts with Cousins et al. 1996
WVAS,270,0.6,60,Q3,Q3,I,Q3,"Cousins, W.J. et al. (1996)",some conflicts with Perrin et al. 2015
WVFS,270,0.7,100,Q3,Q2,Mw,Q3,"Perrin, N.D. et al. (2015); Unpublished HVSR (A. Kaiser)",
WVHS,330,0.3,12,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
WVZ,1000,<0.1,0,Q3,Q3,I,Q3,"Perrin, N.D. et al. (2015)",
