Station,Site Class,Vs30,Vs30 Quality,Tsite,Tsite Method,Tsite Quality,Basement Depth,Depth Quality,Link,Citations,Notes
NEWS,B,1000,Q3,0,Mn,Q2,0,Q3,,Perrin2015 VanHoutte2017,conflicts exist with Cousins1996
NGHS,B,800,Q3,0.23,Mw,Q3,7,Q3,,VanHoutte2017,
NLMS,C,460,Q3,0.22,Ms,Q1,20,Q3,,VanHoutte2017,
NMPS,B,900,Q3,-1,Mn,Q2,7,Q3,,VanHoutte2017,
NNBS,D,204,Q1,4.9,Ma,Q2,680,Q3,,Lee2015 Wotherspoon2014 Wotherspoon2015,
NNZ,B,1100,Q3,-1,Mn,Q1,0,Q3,,VanHoutte2017,
NPCS,D,350,Q3,1.3,Mw,Q3,200,Q3,,VanHoutte2017,
NSBS,D,210,Q3,1,Mw,Q1,100,Q3,,Perrin2015 VanHoutte2017,
NSPS,B,900,Q3,1,Mw,Q2,2,Q3,,Cousins1996 VanHoutte2017,
NWFS,B,800,Q3,<0.1,I,Q3,7,Q3,,Cousins1996,
NZAS,D,210,Q3,0.8,I,Q3,60,Q3,,Perrin2015,
OAMS,C,312,Q3,0.38,I,Q3,30,Q3,,McVerry2011,
ODZ,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
OHSS,D,210,Q3,>2,I,Q3,500,Q3,,Perrin2015,
OPCS,E,210,Q3,1,Mw,Q3,75,Q3,,Perrin2015 VanHoutte2017,
OPSS,C,270,Q3,0.4,I,Q3,40,Q3,,Perrin2015,
OPWS,D,210,Q3,0.7,I,Q3,50,Q3,,Perrin2015,
OPZ,A,1500,Q3,-1,Mn,Q1,0,Q3,,Perrin2015 VanHoutte2017,
ORCS,D,350,Q3,1,Mw,Q1,100,Q3,,VanHoutte2017,
OTKS,D,210,Q3,2,Mw,Q1,180,Q3,,Perrin2015 VanHoutte2017,
OXZ,B,1000,Q3,0.9,Mw,Q1,0,Q3,,Kaiser2013 Perrin2015,
PAPS,D,200,Q3,1.4,Mw,Q1,100,Q3,,VanHoutte2017,
PARS,B,760,Q3,0.8,Mw,Q1,0,Q3,,Kaiser2013 Kaiser2014,
PEEC,D,425,Q3,0.6,I,Q3,60,Q3,,Perrin2015,some conflicts with Cousins1996
PFAS,B,900,Q3,0.13,Ms,Q1,0,Q2,,VanHoutte2017,
PGFS,D,210,Q3,0.67,Ms,Q1,50,Q3,,Perrin2015 VanHoutte2017,
PGMS,D,200,Q2,2,Ms,Q2,250,Q3,,Boon2010 Kaiser2006b VanHoutte2017,
PHFS,B,1000,Q3,0.25,Mw,Q3,0,Q3,,Perrin2015 VanHoutte2017,
PHHS,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
PIPS,E,210,Q3,>2,I,Q3,250,Q3,,Perrin2015 Semmens2010,
PKIS,D,330,Q3,0.8,I,Q3,100,Q3,,Perrin2015,conflicts exist with Cousins1996
PNBS,D,270,Q3,0.75,I,Q3,60,Q3,,Perrin2015,
PNMS,D,210,Q3,1.2,I,Q3,100,Q3,,Perrin2015,
PNRS,D,270,Q3,0.75,I,Q3,60,Q3,,Perrin2015,
POKS,C,330,Q3,0.25,Ms,Q2,20,Q3,,Perrin2015 VanHoutte2017,
POLS,C,275,Q3,0.4,Ms,Q1,25,Q2,,McVerry2011 VanHoutte2017,McVerry2011 at 708A
POTS,B,1000,Q3,-1,Mn,Q1,0,Q2,,VanHoutte2017,
PPHS,E,180,Q1,5.9,Ma,Q2,670,Q3,,Lee2015 Wotherspoon2014 Wotherspoon2015,
PRKS,D,190,Q2,0.9,Ms,Q1,70,Q2,,Kaiser2006a VanHoutte2017,
PRPC,E,196,Q1,>2,Ma,Q3,470,Q3,,Lee2015 Wotherspoon2014 Wotherspoon2015,
PTOS,C,450,Q3,0.2,I,Q3,10,Q3,,Perrin2015,some conflicts with Cousins1996
PUZ,B,1000,Q3,0.4,Mw,Q3,0,Q3,,Perrin2015 VanHoutte2017,
PVCS,D,190,Q2,2,I,Q3,280,Q3,,Boon2010 Kaiser2006b Perrin2015,
PWES,B,1000,Q3,<0.1,I,Q3,5,Q3,,Perrin2015,conflicts with Cousins1996
PWZ,B,1000,Q3,0.5,I,Q3,0,Q3,PXZ,,
PXZ,B,1000,Q3,0.5,Ms,Q2,0,Q3,,Perrin2015 VanHoutte2017,
PYZ,B,1000,Q3,0.4,Mu,Q2,0,Q3,,Perrin2015 VanHoutte2017,
QCCS,D,270,Q3,0.28,Ms,Q1,20,Q3,,Perrin2015 VanHoutte2017,
QRZ,B,1000,Q3,-1,Mn,Q1,0,Q3,,Perrin2015 VanHoutte2017,
QTPS,D,350,Q3,0.95,Mw,Q1,90,Q3,,McVerry2011 VanHoutte2017,McVerry2011 at 940A
RCBS,B,800,Q3,0.5,Mw,Q3,8,Q2,,Kaiser2014 Massey2016,
RCS1,D,270,Q3,1.1,I,Q3,100,Q3,,Perrin2015,
#RCS2,D,270,Q3,1,I,Q3,50,Q3,,Perrin2015,
RDCS,C,270,Q3,0.22,Mw,Q2,20,Q3,,Perrin2015 VanHoutte2017,
REHS,E,155,Q1,>2,Ms,Q3,640,Q3,,Kaiser2013 Lee2015 Wotherspoon2014 Wotherspoon2015,
RHBS,B,900,Q3,0.45,Mw,Q3,9,Q2,,Kaiser2014 Massey2016,
RHSC,D,286,Q1,5.2,Ma,Q2,440,Q3,,Lee2015 Wotherspoon2014 Wotherspoon2015,
RKAC,D,210,Q3,>2,I,Q3,810,Q3,,Lee2015 Perrin2015,
ROLC,D,210,Q3,>2,I,Q3,400,Q3,,Lee2015 Perrin2015,
ROPS,D,210,Q3,0.8,I,Q3,60,Q3,,Cousins1996 Perrin2015,
RPCS,D,210,Q3,>2,I,Q3,300,Q3,,,conflicts exist with Perrin2015
RPZ,B,1000,Q3,-1,Mn,Q1,0,Q3,,Kaiser2013 VanHoutte2017,
RQGS,D,246,Q1,0.6,Mu,Q1,46,Q1,,Kaiser2006b Taber1992 Semmens2010,
RRKS,D,270,Q3,0.9,Mw,Q2,80,Q3,,Perrin2015 VanHoutte2017,
RTZ,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
RUAS,C,270,Q3,0.5,Mw,Q3,40,Q3,,Perrin2015 VanHoutte2017,
SACS,E,210,Q3,>2,I,Q3,500,Q3,,Perrin2015,
SBRC,D,210,Q3,>2,I,Q3,420,Q3,,Lee2015 Perrin2015,
SCAC,D,270,Q3,0.9,Mw,Q2,70,Q3,,Kaiser2013 Perrin2015,
SEAS,C,210,Q3,0.3,I,Q3,30,Q3,,Perrin2015,
SECF,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
SEDS,D,270,Q3,1,I,Q3,50,Q3,RCS2,,
SEVS,D,210,Q3,1.1,Ms,Q2,100,Q3,,Boon2010 VanHoutte2017,
SHFC,D,270,Q3,0.9,Mw,Q2,80,Q3,,Dorn2010 Kaiser2013,
SHLC,D,201,Q1,>2,I,Q3,680,Q3,,Lee2015 Wotherspoon2014 Wotherspoon2015,
SJFS,C,465,Q3,0.23,I,Q3,20,Q3,,McVerry2011 Perrin2015 VanHoutte2017,conflicts exist
SKFS,D,140,Q2,0.8,I,Q3,25,Q3,,Barker1996 Stephenson1999,
SLRC,D,210,Q3,>2,I,Q3,360,Q3,,Lee2015 Perrin2015,
SMHS,D,270,Q3,1.5,I,Q3,150,Q3,,Perrin2015,
SMTC,D,219,Q1,6.3,Ma,Q2,720,Q3,,Lee2015 Wotherspoon2014 Wotherspoon2015,
SNZO,B,1000,Q3,-1,I,Q3,0,Q3,,Perrin2015,
SOCS,D,300,Q3,1.2,I,Q3,140,Q3,,Boon2010 Perrin2015,
SOMS,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
SPFS,D,270,Q3,0.7,Ms,Q1,50,Q3,,Kaiser2013 Perrin2015,
SPRS,D,270,Q3,0.8,Ms,Q2,60,Q3,,Kaiser2013 Perrin2015,
STAS,E,150,Q3,>2,I,Q3,500,Q3,,Perrin2015,
STKS,B,1000,Q3,0.3,Mw,Q2,0,Q3,D13C,,
SUMS,B,1000,Q3,0.11,Mw,Q2,6,Q3,,Perrin2015 VanHoutte2017,
SWNC,D,270,Q3,>2,I,Q3,410,Q3,,Lee2015 Perrin2015,
SYZ,C,400,Q3,0.2,I,Q3,15,Q3,,Perrin2015,conflicts exist with Cousins1996
TAFS,D,298,Q3,1.4,I,Q3,200,Q3,,McVerry2011 Perrin2015 VanHoutte2017,
TAIS,D,250,Q3,0.6,Mw,Q2,70,Q3,,Boon2010 VanHoutte2017,
TBAS,D,210,Q3,1.1,Mw,Q1,80,Q3,,Perrin2015 VanHoutte2017,
TBCS,D,230,Q3,1.4,I,Q3,120,Q3,933B,,conflicts with Perrin2015
TCW,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
TDHS,D,210,Q3,0.8,I,Q3,50,Q3,,Perrin2015,
TEPS,D,267,Q1,1.2,Ms,Q1,120,Q2,,Kaiser2006b McVerry2011 Semmens2010 VanHoutte2017,
TFSS,D,274,Q1,1.3,Mw,Q2,110,Q2,,Kaiser2006b McVerry2011 Semmens2010 VanHoutte2017,
THHS,D,425,Q3,0.6,I,Q3,60,Q3,,Perrin2015,conflicts with Cousins1996
THPS,D,270,Q3,1,I,Q3,80,Q3,,Perrin2015,conflicts with Cousins1996
THZ,B,1000,Q3,-1,Mn,Q1,0,Q3,,VanHoutte2017,
TIRS,C,600,Q3,0.1,I,Q3,10,Q3,,Cousins1996,
TKAS,D,210,Q3,0.6,I,Q3,60,Q3,,Perrin2015,some conflicts with Cousins1996
TKHS,C,210,Q3,0.6,I,Q3,40,Q3,,Perrin2015,some conflicts with Cousins1996
TMBS,C,330,Q3,0.1,I,Q3,5,Q3,,Perrin2015,
TMDS,B,800,Q3,0.35,Mw,Q2,10,Q3,,VanHoutte2017,
TMHS,C,690,Q3,0.1,I,Q3,20,Q3,,Perrin2015,
TOKS,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
TOTS,D,210,Q3,1,I,Q3,100,Q3,,Perrin2015,
TOZ,B,1000,Q3,<0.1,I,Q3,0,Q3,,,
TPLC,D,210,Q3,>2,I,Q3,440,Q3,,Lee2015 Perrin2015,
TPPS,C,454,Q3,0.15,Mw,Q3,10,Q3,,McVerry2011 VanHoutte2017,
TRCS,C,690,Q3,0.15,I,Q3,25,Q3,,Perrin2015,
TRMS,B,900,Q3,<0.1,I,Q3,2,Q3,EKS1,,
TRTS,C,400,Q3,0.2,I,Q3,10,Q2,,Semmens2010,
TSFS,B,1000,Q3,0.38,Ms,Q2,0,Q3,,Perrin2015 VanHoutte2017,
TSZ,B,800,Q3,0.4,Mw,Q1,0,Q3,,Cousins1996 VanHoutte2017,
TTHS,D,210,Q3,1,I,Q3,80,Q3,,Perrin2015,
TUDS,C,600,Q3,0.1,I,Q3,7,Q3,,Cousins1996 Perrin2015,some conflicts
TUHS,B,1000,Q3,0.6,Ms,Q3,0,Q3,,VanHoutte2017,conflicts exist with Cousins1996
TUZ,B,1000,Q3,-1,Mn,Q1,0,Q3,,Perrin2015 VanHoutte2017,
TWAS,D,210,Q3,2,Mw,Q3,150,Q3,,Perrin2015 VanHoutte2017,
UHCS,D,210,Q3,2,Mw,Q2,120,Q3,,Perrin2015 VanHoutte2017,
UHSS,D,210,Q3,0.6,Mw,Q3,60,Q3,,Perrin2015 VanHoutte2017,
URZ,B,1000,Q3,-1,Mn,Q1,0,Q3,,VanHoutte2017,conflicts with Perrin2015
UTKS,C,270,Q3,0.6,I,Q3,60,Q3,,Perrin2015,conflicts with Cousins1996
VRZ,B,1000,Q3,-1,Mn,Q1,0,Q3,,Perrin2015 VanHoutte2017,
VUWS,D,250,Q2,0.8,Mw,Q2,80,Q3,,Kaiser2006b Semmens2010 VanHoutte2017,
WAIS,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,conflicts exist with Cousins1996
WAKC,D,270,Q3,0.8,Ms,Q3,70,Q3,,Kaiser2013 Perrin2015,
WAKS,C,555,Q3,0.1,I,Q3,6,Q3,,Cousins1996 Perrin2015,some conflicts
WANS,B,1000,Q3,0.2,Ms,Q2,0,Q3,,Perrin2015 VanHoutte2017,
WAZ,C,690,Q3,0.1,I,Q3,6,Q3,,Perrin2015,
WBCS,D,300,Q3,1.2,Mw,Q2,105,Q3,,McVerry2011 VanHoutte2017,McVerry2011 at 051B
WBFS,B,800,Q3,<0.1,I,Q3,3,Q3,,Cousins1996 Perrin2015,conflicts exist
WCDS,D,250,Q3,1,Mw,Q1,100,Q3,,VanHoutte2017,
WCSS,D,270,Q3,1,Mw,Q3,90,Q3,,Cousins1996 Kaiser2013,some conflicts with Perrin2015
WDAS,E,120,Q1,1.6,Mu,Q2,62,Q2,,Kaiser2006b Stephenson1992,
WDFS,D,270,Q3,70,Mn,Q3,60,Q3,,Perrin2015 VanHoutte2017,some conflicts with Cousins1996
WDPS,D,270,Q3,1,Mw,Q3,100,Q3,,Perrin2015 VanHoutte2017,see site 120A/B
WEL,B,1000,Q3,0.3,Mw,Q1,0,Q2,,Perrin2015 VanHoutte2017,
WEMS,D,265,Q1,0.8,Mw,Q2,80,Q2,,Kaiser2006b Semmens2010 VanHoutte2017,
WFSS,D,155,Q3,1.5,I,Q3,100,Q3,096A,,
WHAS,C,270,Q3,0.4,I,Q3,40,Q3,,Perrin2015,
WHFS,D,210,Q3,0.6,I,Q3,60,Q3,,Perrin2015,
WHZ,B,1000,Q3,0.13,Mw,Q1,0,Q3,,Perrin2015 VanHoutte2017,
WICS,D,155,Q3,1.5,I,Q3,100,Q3,096A,,
WIGC,D,270,Q3,1.2,Mw,Q2,100,Q3,,Kaiser2013 Perrin2015,
WKHS,D,210,Q3,0.71,Mw,Q2,100,Q3,,Perrin2015 VanHoutte2017,
WKZ,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
WNAS,D,239,Q2,0.78,Mw,Q2,64,Q2,,McVerry2011 VanHoutte2017,
WNHS,B,1000,Q3,<0.1,Mw,Q3,3,Q3,,Perrin2015 VanHoutte2017,
WNKS,C,270,Q3,0.38,Ms,Q1,50,Q3,,Perrin2015 VanHoutte2017,
WNPS,D,330,Q3,2.1,I,Q3,300,Q3,,Perrin2015,
WPWS,C,270,Q3,0.4,I,Q3,20,Q3,,McVerry2011,at 032A some conflicts with Perrin2015
WRCS,D,270,Q3,1,I,Q3,100,Q3,,Perrin2015,
WSFC,D,270,Q3,>2,I,Q3,790,Q3,,Lee2015 Perrin2015,
WTMC,D,210,Q3,0.6,I,Q3,60,Q3,,Perrin2015,some conflicts with Cousins1996
WVAS,D,270,Q3,0.6,I,Q3,60,Q3,,Cousins1996,some conflicts with Perrin2015
WVFS,D,270,Q3,0.7,Mw,Q2,100,Q3,,Perrin2015 VanHoutte2017,
WVHS,C,330,Q3,0.3,I,Q3,12,Q3,,Perrin2015,
WVZ,B,1000,Q3,<0.1,I,Q3,0,Q3,,Perrin2015,
