Station,", Site Name ( 10)",", Site Stability ( )",", Water Table (Depth (m) )",", ""Notes"" (Description of Building or Instrument Housing)",", Topography ( )",", Nearby Faults ( )"
200A,Moawhango Dam,Stable,,"Accelerograph array on concrete arch dam (34m high, 150m long at crest). A - Free field site in (c. 20m) rock adit in side of gorge level with crest of dam , B - Base of dam, centre, on floor of gallery, C - Top of dam, centre, on wall of pendulum chamber",Steep sided rock gorge,"Rangipo S (c. 4 km), Rangipo N (c. 4 km), Rangipo C12 (c. 4 km), Shawcroft Rd (c. 8 km), Karioi (c. 12 km)"
201A,Whangarei Telephone Exchange,Low Liquefaction Susceptibility,,"Concrete ground floor, near centre, of large (approx. 30m x 30m) 3-storey building. Reinforced concrete frame, block walls.",Flat land close to sea level,Wairoa N (c. 152 km) 
201B,Whangarei Telephone Exchange,Low Liquefaction Susceptibility,,"Concrete ground floor, near centre, of large (approx. 30m x 30m) 3-storey building. Reinforced concrete frame, block walls.",Flat land close to sea level,Wairoa N (c. 152 km) 
202A,Wellsford Telephone Exchange,Low Landslide Susceptibility,,Concrete floor of single storey lightweight wooden building,Crest of broad low ridge,Wairoa N (c. 87 km) 
203A,Warkworth Telephone Exchange,Low Landslide Susceptibility,,"Concrete floor of single storey reinforced concrete frame industrial building, clad with brick veneer (probably over rc walls)",Gently undulating,Wairoa N (c. 71 km) 
203B,Warkworth Police Station,Low Landslide Susceptibility,,"Concrete ground floor of 2-storey building. (Concrete block garage beneath single storey house, wood walls and corrugated iron roof)","Gently rolling, site close to Mahurangi river",Wairoa N (c. 72 km) 
204A,Auckland Central Post Office,Low Liquefaction Susceptibility,,On concrete floor in basement of reinforced concrete building,Flat,Wairoa N (c. 27 km) 
205A,Auckland University School of Engineering,low Landslide Susceptibility,,Basement of 5 storey reinforced concrete building (rc frame),Side of broad low ridge,Wairoa N (c. 26 km) 
206A,Auckland Birkenhead Telephone Exchange,Stable,,Concrete floor of 3m deep cable tunnel beneath single storey portion of reinforced concrete building (RC frame and RC walls). Rear of building is 2 stories.,Crest of low hill in gently rolling terrain,Wairoa N (c. 32 km) 
207A,Auckland Te Atatu Telephone Exchange,Stable,,"On concrete floor of cable tunnel beneath single storey reinforced-concrete building (rc frame, block masonry and rc/brick infill walls, windows on one side, approx. 10m x 20m). Instrument 2.5m below ground surface.",Flat terrace,Wairoa N (c. 36 km) 
208A,Auckland Manurewa Telephone Exchange,Low Landslide Susceptibility,,On concrete floor of cable tunnel beneath 2-storey reinforced-concrete building (rc frame and rc walls). Instrument 3m below ground surface.,Nearly flat area in very gently rolling terrain,Wairoa N (c. 12 km) 
209A,Thames Post Office,Low Landslide Susceptibility,,Concrete floor of basement beneath a 2 storey reinforced concrete building (occupied until October 1984).,"Flat site, 100m from sea, on 800m wide coastal plain at foot of steep hill",Kerepehi N (c. 15 km) 
209B,Thames Telephone Exchange,Low Landslide Susceptibility,,Concrete floor of 2 storey reinforced concrete building (occupied post-October 1984).,"Flat site, 100m from sea, on 800m wide coastal plain at foot of steep hill",Kerepehi N (c. 15 km) 
210A,Te Kauwhata Post Office,Low Landslide Susceptibility,5,Floor of single storey light timber building.,"Slightly elevated lowland, low rolling hills.",Wairoa N (c. 24 km) 
211A,Waihi Telephone Exchange,Low Landslide Susceptibility,,"On concrete floor of 1m deep cable duct under single storey reinforced concrete building (rc frame, rc walls, approx. 15m x 20m)",Slightly undulating plain formed in Pleistocene volcanic deposits,Kerepehi N (c. 19 km) 
212A,Tauranga Telephone Exchange,Stable,,"Concrete floor in basement of heavy 2-storey reinforced concrete building (rc frame, rc walls, approx. 15m x 30m)",Flat terrace near sea,Mayr 1 (c. 21 km) 
213A,Hamilton Chief Post Office,Stable,,Concrete floor in basement of 4 storey reinforced concrete building,"Flat site, terrace above Waikato river",Kerepehi C (c. 38 km) 
214A,Opotiki Telephone Exchange,Low Liquefaction Susceptibility,,"Concrete floor of light timber framed building with brick and fibrilite walls, iron roof",Partly coastal plain & flood plain of Otara & Waioeka Rivers (3km wide at site),"Raukumara F13 (c. 5 km), Urewera 3 (c. 9 km), Waikaremoana (c. 9 km), Raukumara F15 (c. 14 km), Waimana N (c. 15 km)"
214B,Opotiki Shell Service Station,Low Liquefaction Susceptibility,,Concrete floor of light timber framed building with corrugated iron walls and roof,Partly coastal plain & flood plain of Otara & Waioeka Rivers (3km wide at site),"Raukumara F13 (c. 5 km), Urewera 3 (c. 9 km), Waikaremoana (c. 9 km), Raukumara F15 (c. 14 km), Waimana N (c. 15 km)"
215A,Rotorua Old Telephone Exchange,Stable,,Concrete floor of concrete single storey building,"Flat land near Lake Rotorua, within the caldera, close to ridge of rhyolite.","Horohoro (c. 4 km), Ngakuru SW (c. 7 km), Ngakuru New (c. 8 km), Maleme (c. 17 km), Paeroa (c. 18 km)"
215B,Rotorua Telephone Exchange,Stable,,"Concrete floor of reinforced concrete three storey building. Beam/column construction, with concrete slab wall panels.","Flat land near Lake Rotorua, within the caldera, close to ridge of rhyolite.","Horohoro (c. 4 km), Ngakuru SW (c. 7 km), Ngakuru New (c. 8 km), Maleme (c. 17 km), Whirinaki E (c. 18 km)"
215C,Rotorua Police Station,Stable,,Concrete floor of single-storey reinforced-concrete (shear wall) store-room. Site near one end of building. Part of station complex of 4 substantial buildings. (Approximate dimensions 5m x 40m for the building housing the accelerograph),Flat land near lake shore,"Horohoro (c. 4 km), Ngakuru SW (c. 7 km), Ngakuru New (c. 8 km), Maleme (c. 17 km), Whirinaki E (c. 18 km)"
216A,Tolaga Bay Police Station,Low Liquefaction Susceptibility,,Concrete floor of light timber framed building,Flat low land adjacent to estuary,"Hikurangi Subduction Zone, Marau F33 (c. 8 km), Raukumara F27 (c. 18 km), Raukumara F30 (c. 18 km), "
216B,Tolaga Bay Post Office,Low Liquefaction Susceptibility,,Concrete floor of light timber framed building,Flat low land adjacent to estuary,"Hikurangi Subduction Zone, Marau F33 (c. 8 km), Raukumara F27 (c. 18 km), Raukumara F30 (c. 18 km), "
217A,Te Kuiti Post Office,Low Landslide Susceptibility,,Concrete floor in basement of 2 storey reinforced concrete building,Floor of ~1km wide valley,Turi N (c. 51 km) 
218A,Gisborne Telephone Exchange,Stable,,"Concrete floor in basement of 2-storey reinforced-concrete building (r-c frame, r-c in-fill walls, many interior walls also r-c). Probably more strongly constructed, but otherwise typical of many buildings in the CBD of Gisborne.","Flat site on progradational beach sands, about 0.5 km from sea, and about 1km from one side of large (c. 12km x 12km) plain.","Raukumara F3 (c. 3 km), Hikurangi Subduction Zone, Raukumara F6 (c. 16 km), OtokoToto F7 (c. 17 km), Repongaere F4 (c. 18 km)"
219A,Taupo Post Office,Stable,,"Concrete floor in light wooden building (weatherboard cladding, iron roof)","Flat site 300m from lake outlet, old terrace level","Aratiatia (c. 5 km), Kaiapo (c. 5 km), Whakaipo (c. 7 km), Ngangiho (c. 11 km), Orakonui (c. 12 km)"
220A,Taupo Police Station,Stable,,"Concrete floor of 2-storey building, concrete block ground floor (garage) beneath timber framed and clad upper storey (accommodation). One side of Police station complex.(Approximate dimensions 7m x 10m)","Near lake outlet, old terrace level","Aratiatia (c. 5 km), Kaiapo (c. 5 km), Whakaipo (c. 7 km), Ngangiho (c. 10 km), Orakonui (c. 12 km)"
221A,Tuai Power Station,Stable,,Concrete floor of cable duct at base of massive concrete power house (occupied until December 1992),Floor of c. 200 m wide valley with moderately steep sides,"Waimana S (c. 11 km), Urewera 1 (c. 11 km) "
221B,Tuai Power Station,Stable,,"Concrete floor of light single-storey building adjacent to turbine hall (current location). Building has timber frame, hardboard interior lining, brick wall cladding, corrugated iron roof. (Approximate dimensions 6m x 6m)",Floor of c. 200 m wide valley with moderately steep sides,"Waimana S (c. 11 km), Urewera 1 (c. 11 km) "
222A,Awakino Post Office,Stable,,Concrete floor of concrete strong-room in old single storey wooden building,"Flat land 400m from mouth of river, 400m wide river valley",Turi N (c. 17 km) 
223A,Mokau Post Office,Low Landslide Susceptibility,,Concrete floor of single storey light wooden building,100m from seaward edge of c. 500m wide undulating terrace,Turi N (c. 20 km) 
223B,Mokau Riviera Restaurant,Low Landslide Susceptibility,,Concrete floor of single storey light wooden building,100m from inland edge of c. 500m wide undulating terrace,Turi N (c. 20 km) 
224A,Taumarunui Telephone Exchange,Stable,,Concrete floor in basement cable duct of single storey reinforced concrete building,Flat river terrace,Raurimu (c. 30 km) 
225A,Wairoa Post Office,Stable,,Post Office (occupied until April 1974),Flat site on Wairoa River floodplain,Napier 1931 (c. 13 km) 
225B,Wairoa Telephone Exchange,Stable,5,"Concrete floor in basement of 2-storey reinforced concrete building. R-C frame and shear walls, with concrete block for inside walls. Floor of basement 2m below ground level. (Approximate dimensions 15m x 30m)",Flat site on Wairoa River floodplain,Napier 1931 (c. 13 km) 
226B,New Plymouth Post Office,Low Landslide Susceptibility,,Concrete floor in basement of 4 storey reinforced concrete building,Gently sloping land on coast,"Turi S (c. 11 km), Inglewood (c. 13 km), Norfolk (c. 19 km) "
228A,Ohakune Telephone Exchange,Stable,,Concrete floor of single storey reinforced concrete building,Volcanic plain; undulating plain bounded by faults on the northern side.,"Ohakune (c. 2 km), Raetihi (c. 4 km), Karioi (c. 8 km), Raurimu (c. 8 km), Waipuna (c. 8 km)"
229A,Napier Museum,Stable,,Ground (concrete) floor of large 2-storey reinforced concrete building (r-c frame and walls) (Approximate dimensions 20m x 40m),Beach ridge (gravel) 100m from the foot of Bluff Hill (limestone),Napier 1931 (c. 4 km) 
230A,Hawera Telephone Exchange,Stable,,Concrete floor in basement cable duct of 2 storey reinforced concrete building,Flat marine terrace,Ararata (c. 4 km) 
231A,Taihape Post Office,Low Landslide Susceptibility,,Concrete floor of single storey wooden framed building,Flat terrace site (1km wide terrace),"Taihape (c. 0.7 km), Rangitikei (c. 3 km), Mataroa (c. 5 km), Snowgrass (c. 17 km), Rangipo S (c. 20 km)"
232A,Waverley Post Office,Low Landslide Susceptibility,,Concrete floor of massive 2 storey reinforced concrete building,Gently undulating marine terrace,"Moumah-Okaia 4 (c. 3 km), Waverly-Okaia 1 (c. 3 km), Ridge Road-Okaia 2 (c. 7 km), Waitototara 10-11 (c. 8 km), Nukumaru-Waitototara 1-6 (c. 16 km)"
234A,Wanganui Post Office,Stable,,Concrete floor in basement beneath 3 storey reinforced concrete building,Flat land. Site 150m from river edge of 1500m wide river terace; floodplain of Wanganui river,Nukumaru-Waitototara 1-6 (c. 23 km) 
235A,Waipawa Post Office,Stable,20,Concrete floor in basement of 2 storey reinforced concrete building,Edge of river flats in low hill country,"Waipukurau-Poukawa (c. 2 km), Tukituki  Thrust (c. 5 km) "
236A,Dannevirke Telephone Exchange,Stable,,Concrete ground floor of 2 storey reinforced concrete building,"Intermediate level terrace (c 1km wide) between 2 streams, one cut down into bedrock.","Pahiatua (c. 4 km), Alfredton-Makuri (c. 10 km), Wellington (Pahiatua) (c. 11 km), Mohaka S (c. 11 km), Woodville (c. 11 km)"
236B,Dannevirke Post Office,Stable,,Concrete ground floor of 2 storey concrete block building,"Intermediate level terrace (c 1km wide) between 2 streams, one cut down into bedrock.","Pahiatua (c. 3 km), Alfredton-Makuri (c. 10 km), Woodville (c. 10 km), Wellington (Pahiatua) (c. 11 km), Mohaka S (c. 11 km)"
237A,Palmerston North Telephone Exchange,Stable,,Concrete floor of cable well under 2 storey reinforced concrete building,Flat site on flood plain of Manawatu River,"Pahongina Anticline (c. 6 km), Wellington (Pahiatua) (c. 13 km), North Ohariu (c. 13 km), Feilding Anticline (c. 14 km), Ruahine Reverse (c. 15 km)"
238A,Pahiatua Telephone Exchange,Stable,,Concrete floor of single storey timber framed building,Alluvial plain of Mangatainoka River,"Pahiatua (c. 1 km), Wellington (Pahiatua) (c. 9 km), Ruahine S (c. 13 km), Woodville (c. 13 km), Alfredton-Makuri (c. 14 km)"
239A,Pahiatua Valley Motors,Stable,,"Concrete floor of single-storey timber-framed building. Corrugated iron & stucco wall cladding, steel roof trusses. (Approximate dimensions 15m x 15m)",Alluvial plain of Mangatainoka River,"Pahiatua (c. 1 km), Wellington (Pahiatua) (c. 9 km), Ruahine S (c. 13 km), Woodville (c. 13 km), Alfredton-Makuri (c. 14 km)"
240A,Levin Telephone Exchange,Stable,,Concrete floor of cable duct beneath 2 storey steel framed building,"Flat coastal plain, c15km wide","Levin Anticline (c. 1 km), Poroutawhao (c. 4 km), North Ohariu (c. 6 km), Shannon A (c. 8 km), Himatangi Anticline (c. 14 km)"
242A,Otaki Telephone Exchange,Stable,,Concrete floor of single storey reinforced concrete building,Flat alluvial plain (floodplain of Otaki River),"Poroutawhao (c. 4 km), North Ohariu (c. 4 km), Ohariu C (c. 5 km), Akatarawa-Otaki (c. 15 km), Levin Anticline (c. 18 km)"
243A,Castlepoint Lighthouse (generator room),Stable,,Concrete floor of single storey concrete-block building.,Flat land within 2 m of high tide level,"Hikurangi Subduction Zone, Carterton (c. 10 km), Kaumingi (c. 19 km) "
243B,Castlepoint Fire Station,Stable,5,Concrete floor of 1-storey building with concrete-block walls and iron roof (about 8m x 8m),Terrace at foot of low hill near sea shore.,"Hikurangi Subduction Zone, Carterton (c. 10 km), Mokonui NE (c. 19 km) "
244A,Masterton Telephone Exchange,Stable,,Concrete floor of cable duct in basement of 2 storey reinforced concrete building,Near centre of 10km wide fluvial flood plain within rolling hill country,"Masterton (c. 0.5 km), Mokonui SW (c. 6 km), Carterton (c. 6 km), Wairarapa-Nicholson (c. 9 km), Kaumingi (c. 15 km)"
245A,Paraparaumu Repeater Station,Low Landslide Susceptibility,,Concrete floor of 2 storey reinforced concrete building,"Not far from edge of flat coastal plain, about 4km wide","Ohariu C (c. 2 km), Pukerua-Shepherds (c. 6 km), Wairau Offshore (c. 14 km), Akatarawa-Otaki (c. 14 km), Moonshine (c. 15 km)"
246A,Paraparaumu Telephone Exchange,Low Liquefaction Susceptibility,,Concrete floor in basement of 2 storey reinforced concrete building,"Side of sand dune in flat coastal plain, about 4km wide","Ohariu C (c. 3 km), Pukerua-Shepherds (c. 6 km), Wairau Offshore (c. 13 km), Moonshine (c. 15 km), Akatarawa-Otaki (c. 15 km)"
248A,Martinborough Post Office,Stable,,Concrete floor of small concrete block outbuilding,Several kilometre wide river floodplain surrounded by low hill country,"Martinborough (c. 1 km), Dry Huangaroa (c. 4 km), Bidwill (c. 4 km), Otaraia (c. 10 km), Hikurangi Subduction Zone"
249A,"Lower Hutt PEL DSIR (old building, metrology laboratory)",Stable,,"Concrete floor of 2 storey timber building (Sites 249A, 249B, 642A, 642B, 642G, 642H)","Flat site on floor of Hutt Valley, 50m from hill on eastern side, ~2km from shoreline.","Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
249B,Lower Hutt PEL DSIR (electrical standards laboratory),Stable,,"Concrete floor of 2 storey timber building (Sites 249A, 249B, 642A, 642B, 642G, 642H)","Flat site on floor of Hutt Valley, 50m from hill on eastern side, ~2km from shoreline.","Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
250A,Lower Hutt IRL (tape tunnel),Stable,,"Concrete floor of reinforced concrete tunnel, 3m deep, beneath 2 storey reinforced concrete building (Sites 250A, 642C, 642E, 642F, 642T, 642V)","Flat site on floor of Hutt Valley, 50m from hill on eastern side, ~2km from shoreline.","Wellington (Hutt Valley) (c. 4 km), Whitemans (c. 5 km), Moonshine (c. 9 km), Ohariu S (c. 12 km), Ohariu C (c. 14 km)"
251A,Lower Hutt Haywards Substation,Stable,,Concrete plinth on floor of 2m deep concrete services tunnel,Edge of terrace above Hutt river,"Wellington (Hutt Valley) (c. 0.6 km), Whitemans (c. 4 km), Moonshine (c. 5 km), Akatarawa-Otaki (c. 7 km), Ohariu C (c. 10 km)"
252A,Thames Milk Treatment Plant,Low Landslide Susceptibility,,"Concrete floor single storey industrial building, reinforced concrete columns, concrete slab infill walls.","Flat site at foot of steep hill, on 400m wide coastal plain.",Kerepehi N (c. 16 km) 
253A,Hamilton Police Station,Stable,,"Accelerograph array in reinforced-concrete frame building (basement + 7 stories, 30m x 30m). Site 253A - free field site c. 30m from the Police Station building, base of 3m deep chamber",Flat terrace above Waikato river,Kerepehi C (c. 38 km) 
254A,Napier Telephone Exchange Marewa,Stable,5,Concrete floor of high stud light single storey building,Flat site on floodplain of Tutaekuri River.,Napier 1931 (c. 4 km) 
255A,Ngawihi Fish Processing Factory,Low Landslide Susceptibility,,"Concrete floor of light, 1-storey, timber-framed, fibrolite-clad, industrial building",Narrow (about 200m wide) coastal plain (raised beach),"Hikurangi Subduction Zone, BooBoo (c. 9 km), Ngapotiki (c. 11 km), Otaraia (c. 11 km), Dry Huangaroa (c. 14 km)"
256A,Maruia Springs Hotel,Low Landslide Susceptibility,,Concrete floor of reinforced concrete frame single storey building,Flat terrace site above Maruia River in narrow (c. 0.5km wide) valley,"Awatere SW (c. 5 km), Alpine (Kaniere-Tophouse) (c. 9 km), Fowlers (c. 13 km), Clarence SW (c. 17 km), "
257A,Motueka Post Office,Stable,,"Concrete floor of strong-room, on ground floor of 2 storey reinforced concrete building",Flat alluvial plain near coast,Waimea N (c. 31 km) 
259A,Nelson Telephone Exchange,Stable,1.4,Concrete ground floor of 2 storey reinforced concrete building,"Small (1km) delta/floodplain, coastal area adjoining hilly terrain.",Waimea N (c. 4 km) 
260A,Blenheim Telephone Exchange,Stable,2,Concrete ground floor of 2 storey reinforced concrete building (occupied until August 1985).,Flat site on 12km wide flood plain of Wairau/Taylor rivers.,"Wairau (c. 5 km), Wairau Offshore (c. 11 km), Awatere NE (c. 15 km) "
261A,Havelock Post Office,Low Landslide Susceptibility,,Concrete hearth on ground inside a light wooden framed building,Near toe of low ridge on a 300m wide coastal flat,Waimea N (c. 24 km) 
262A,Picton Post Office,Stable,,Concrete floor of strong-room in single storey wooden building,Floor of small (c. 1km wide) valley at head of Picton harbour,"Wairau Offshore (c. 16 km), Wairau (c. 18 km) "
263A,Picton Port of Marlborough Building,Stable,,Concrete floor in basement of 2 storey reinforced concrete building,Floor of small (c. 1km wide) valley at head of Picton harbour,"Wairau Offshore (c. 16 km), Wairau (c. 17 km) "
264A,Golden Downs Ranger Station,Low Landslide Susceptibility,,Concrete floor of wooden storage shed,"Clearing in pine plantation, old river terrace","Waimea S (c. 4 km), Waimea N (c. 14 km) "
265A,Murchison Post Office,Stable,,Concrete floor of very small wooden shed (ex wc),2-3km wide alluvial flat at confluence of several rivers.,"White Creek (c. 11 km), Lyell (c. 19 km) "
265B,Murchison MWD Depot Office,Stable,10,On concrete block (1.5m x 1.5m x 2m high) through floor of single storey wooden framed building,2-3km wide alluvial flat at confluence of several rivers.,"White Creek (c. 12 km), Lyell (c. 19 km) "
266A,Westport Telephone Exchange,High Liquefaction Susceptibility,15,"Sites 051A, B, C, 266A. Concrete floor of single storey concrete walled building (occupied until March 1993).","Flat piedmont coastal floodplain, c12km wide, between Buller river and Orowati Lagoon.",Paparoa RF (c. 8 km) 
266B,Westport Buller District Council,High Liquefaction Susceptibility,15,"Sites 051D, 266B, WBCS. Concrete floor of steel-framed garage (occupied post March 1993).","Flat piedmont coastal floodplain, c12km wide, between Buller river and Orowati Lagoon.",Paparoa RF (c. 8 km) 
267A,Reefton Forestry Headquarters,Stable,15,"Concrete floor of timber framed building, weatherboard cladding",Flat site on floor of broad (2km wide) fluvial valley in low hill country.,"Maimai (c. 11 km), Inangahua (c. 14 km) "
267B,Reefton DOC,Stable,,"Concrete floor of light, 1-storey, timber-framed building with steel-clad walls and roof.",Flat site on floor of broad (2km wide) fluvial valley in low hill country.,"Maimai (c. 11 km), Inangahua (c. 14 km) "
268A,Greymouth Telecom,Low Liquefaction Susceptibility,5,Concrete floor of 2 storey reinforced concrete building,Flat site on coastal flood plain (1.5km wide).,Brunner  Anticline (c. 9 km) 
270A,Kaikoura Telephone Exchange,Stable,,Concrete floor of single storey reinforced concrete building,"Wavecut platform with thin alluvium over limestone (at foot of hill, near beach)","Hundalee (c. 4 km), Hope-Conway (c. 9 km), Hope-Conway OS (c. 9 km), MS05 (c. 9 km), Jordan-Kekerengu-Chancet-SF (c. 12 km)"
270B,Kaikoura Marine Laboratory,Stable,,Concrete floor of single storey garage with concrete block walls & lightweight roof,Wavecut limestone platform at foot of sea cliff,"Hundalee (c. 2 km), MS05 (c. 9 km), Hope-Conway (c. 11 km), Hope-Conway OS (c. 11 km), Jordan-Kekerengu-Chancet-SF (c. 13 km)"
271A,Hanmer Springs Fire Station,Stable,2.5,Concrete floor of single storey concrete block building,"Flat site on alluvium, 300m from edge of 6km wide tectonic basin.","Hanmer (c. 0.2 km), Hope-Conway (c. 5 km), Hope-Conway OS (c. 5 km), Hope 1888 (c. 7 km), Clarence NE (c. 14 km)"
272A,Hokitika Post Office,Low Landslide Susceptibility,10,Concrete floor of massive reinforced concrete 2 storey building,Flat site on coastal plain.,Brunner  Anticline (c. 14 km) 
272B,Hokitika Telecom Line Depot,Low Landslide Susceptibility,10,Concrete floor of large light-weight steel-framed 1-storey storage shed,Flat site on coastal plain.,Brunner  Anticline (c. 14 km) 
272C,Hokitika Medical Centre,Low Landslide Susceptibility,10,Concrete floor of concrete-block garage with iron roof (occupied 19/06/92 to present),Flat site on coastal plain.,Brunner  Anticline (c. 14 km) 
273A,Christchurch Arts Centre,Stable,5,Basement of massive 2 storey stone faced & slate roofed building,Flat site on Waimakariri River floodplain.,Pegasus1NW (c. 24 km) 
274A,Christchurch Canterbury Uni. Engineering Sch.,Stable,8,Concrete floor of lightweight steel framed high stud building,Flat site on Waimakariri River floodplain,Pegasus1NW (c. 25 km) 
275A,Christchurch International Airport,Stable,,Concrete floor in basement of 2 storey reinforced concrete building,Flat site on Waimakariri River floodplain,Springbank (c. 22 km) 
276A,Cheviot Post Office,Stable,6,Concrete floor of light timber garage,Flat site in low rolling country (East margin of Cheviot syncline),"Kaiwara N (c. 7 km), Kaiwara S (c. 9 km), Hundalee (c. 14 km), Lowry (c. 19 km), "
277A,Ashburton Telephone Exchange,Stable,,Concrete floor in basement cable duct of 2 storey reinforced concrete building,Flat site on broad river plain,Hutt-Peel (c. 33 km) 
278A,Mount Cook Hermitage,Low Landslide Susceptibility,,Concrete floor of large two storey timber framed building,About 100m from side of 1.5km wide glacier cut valley,Ostler (c. 24 km) 
279A,Mount Cook National Park Headquarters,Low Landslide Susceptibility,,"Concrete floor of basement of 2-storey building, timber-framed, iron wall and roof cladding",Undulating ground close to foot of steep slope,Ostler (c. 24 km) 
280A,Omarama Store,Stable,,Concrete floor of timber framed lightweight garage,Flat land about 200m from foot of steep slope 120m high,"Fern Gully (c. 4 km), Ostler (c. 6 km), Otematata (c. 13 km) "
281A,Timaru Telephone Exchange,Stable,,Concrete floor in basement of 3 storey reinforced concrete building,"Low lying, slightly disected, coastal plain",Brothers (c. 19 km) 
283A,Queenstown Telephone Exchange (old),Low Landslide Susceptibility,,Concrete floor of single storey reinforced concrete building with light roof,"Flat site on side of lake, with small stream running under part of building","Moonlight N (c. 9 km), Nevis (c. 20 km), Cardrona S (c. 20 km) "
283B,Queenstown Telephone Exchange,Low Landslide Susceptibility,,Concrete floor of single storey reinforced concrete building with stone cladding & heavy tile roof,Flat site on side of lake,"Moonlight N (c. 9 km), Nevis (c. 20 km), Cardrona S (c. 20 km) "
284A,Oamaru Telephone Exchange,Stable,,Concrete floor in basement of 2 storey reinforced concrete & stone faced building,"Coastal platform, 4m above sea level",Stonewall (c. 33 km) 
284B,Oamaru North Otago Museum,Stable,,On concrete floor of single storied reinforced concrete annex to massive stone building,"Coastal platform, 4m above sea level",Stonewall (c. 32 km) 
285A,Te Anau Post Office,Low Liquefaction Susceptibility,4,Concrete floor of light timber shed at rear of Post Office,Flat site on river delta near Lake Te Anau,Te Anau (c. 2 km) 
286A,Te Anau Fire Station,Low Liquefaction Susceptibility,4,"Stiff concrete block & reinforced concrete framed, single storey building on slab floor",Flat site on river delta near Lake Te Anau,Te Anau (c. 2 km) 
287A,Roxburgh Gallery,Stable,,"Concrete floor of single storey building with concrete walls & lightweight roof. Previously named ""Roxburgh Post Office"".",Near centre of 200m wide terrace by Clutha River.,OldMan (c. 0.8 km) 
288A,Mossburn Post Office,Stable,,Concrete floor of light timber framed building,Broad floodplain,"Takitimu 2 (c. 0.6 km), Hokonui (c. 5 km), Takitimu 1 (c. 20 km) "
289A,Mossburn Tractor & Auto Services,Stable,,Concrete floor of light timber framed building.,Broad floodplain,"Takitimu 2 (c. 0.6 km), Hokonui (c. 5 km), Takitimu 1 (c. 20 km) "
289B,Mossburn Motors,Stable,,"Concrete floor of light timber framed building. Previously named ""Mossburn Tractor & Auto Services"".",Broad floodplain,"Takitimu 2 (c. 0.6 km), Hokonui (c. 5 km), Takitimu 1 (c. 20 km) "
290A,Dunedin Chief Post Office,Low Landslide Susceptibility,,Concrete floor in basement of 9 storey reinforced-concrete stone-faced building.,"Close to old shore line, on edge of alluvium.",Akatore (c. 13 km) 
291A,Dunedin St Clair Telephone Exchange,Stable,,Concrete floor in basement of single storey reinforced concrete building,Flat land close to hill suburb of Kew (edge of a major basin of soft material).,Akatore (c. 11 km) 
292A,Dunedin St Kilda Fire Station,Stable,5,"Concrete floor of 1-storey, steel framed, brick clad building",Flat land close to Musselburgh Hill (edge of a major basin of soft material).,Akatore (c. 12 km) 
293A,Balclutha Post Office,Stable,,Concrete ground floor of 2 storey massive concrete/stone building (occupied 04/01/65 to 24/02/76),Near centre of 1km wide terrace of Clutha River,"Akatore (c. 19 km), Settlement (c. 19 km) "
293B,Balclutha Telephone Exchange,Stable,,Concrete floor in cable duct underneath 2 storey reinforced concrete building (occupied 24/02/76 to present),Near centre of 1km wide terrace of Clutha River,"Akatore (c. 19 km), Settlement (c. 19 km) "
294A,Gore Telephone Exchange,Stable,,Cable duct beneath 3-storey reinforced-concrete building?,Alluvial plain of Mataura River. The river bed is 7m below the valley floor.,"Hokonui (c. 9 km), Spylaw (c. 18 km) "
294B,Gore Police Station,Stable,,Concrete floor of 2 storied reinforced concrete building,Alluvial plain of Mataura River. The river bed is 7m below the valley floor.,"Hokonui (c. 9 km), Spylaw (c. 17 km) "
295A,Invercargill Telecom,Stable,,Concrete ground floor of 3 storey reinforced concrete building,Flat site. Marine bench near mouth of river,Hokonui (c. 55 km) 
296A,Haast Telephone Exchange Generator Room,Stable,,"Concrete floor of light, 1-storey, timber framed galv. iron clad shed","Flat site on coastal plain, river delta, swamp ponded behind beach",Alpine (Fiordland-Kaniere) (c. 7 km) 
297A,Lauder NIWA Station,Low Landslide Susceptibility,,Concrete floor of single storey wooden framed stone-veneer clad building,On side of Manuherekia Valley,"Raggedy (c. 6 km), Dunstan (c. 9 km) "
297B,Lauder NIWA Station Shed,Low Landslide Susceptibility,,"Concrete floor of small, single storey wooden framed iron-clad shed",On side of Manuherekia Valley,"Raggedy (c. 7 km), Dunstan (c. 8 km), Blue Lake (c. 20 km) "
299A,Fox Glacier Park Board Headquarters,Low Landslide Susceptibility,,In concrete block basement of 2 storey timber building with tile roof,Broad lowland floodplain. Offset channel of Fox River,Alpine (Fiordland-Kaniere) (c. 0.7 km) 
301A,Palmerston North Telephone Exchange,Stable,,Concrete floor of cable well under 2 storey reinforced concrete building,Flat site on flood plain of Manawatu River,"Pahongina Anticline (c. 6 km), Wellington (Pahiatua) (c. 13 km), North Ohariu (c. 13 km), Feilding Anticline (c. 14 km), Ruahine Reverse (c. 15 km)"
302A,Wanganui Post Office,Stable,,Concrete floor in basement beneath 3 storey reinforced concrete building,Flat land. Site 150m from river edge of 1500m wide river terace; floodplain of Wanganui river,Nukumaru-Waitototara 1-6 (c. 23 km) 
