Location,Name,Sensor,Type,Unit,Description
RL003,flourine,F-w,water sample,mg/L,F concentration in a water sample
RL003,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RL003,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RL003,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RL003,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RL003,ph,ph,sample,,degree of acidity or alkalinity of a sample
RL003,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RL003,potassium,K-w,water sample,mg/L,K concentration in a water sample
RL003,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RL003,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RL003,rubidium,Rb-w,water sample,mg/L,Rb concentration in a water sample
RL003,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RL003,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RL003,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RL003,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
RL003-1,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
RL004,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RL004,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RL004,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RL004,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RL004,boron,B-w,water sample,mg/L,B concentration in a water sample
RL004,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RL004,caesium,Cs-w,water sample,mg/L,Cs concentration in a water sample
RL004,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RL004,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RL004,flourine,F-w,water sample,mg/L,F concentration in a water sample
RL004,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RL004,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RL004,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RL004,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RL004,ph,ph,sample,,degree of acidity or alkalinity of a sample
RL004,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RL004,potassium,K-w,water sample,mg/L,K concentration in a water sample
RL004,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RL004,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RL004,rubidium,Rb-w,water sample,mg/L,Rb concentration in a water sample
RL004,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RL004,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RL004,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RL004,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
RL005,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RL005,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RL005,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RL005,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RL005,boron,B-w,water sample,mg/L,B concentration in a water sample
RL005,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RL005,caesium,Cs-w,water sample,mg/L,Cs concentration in a water sample
RL005,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RL005,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RL005,flourine,F-w,water sample,mg/L,F concentration in a water sample
RL005,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RL005,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RL005,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RL005,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RL005,ph,ph,sample,,degree of acidity or alkalinity of a sample
RL005,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RL005,potassium,K-w,water sample,mg/L,K concentration in a water sample
RL005,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RL005,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RL005,rubidium,Rb-w,water sample,mg/L,Rb concentration in a water sample
RL005,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RL005,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RL005,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RL005,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
RL006-1,temperature,mercury,thermometer,C,temperature mercury thermometer
RL006-2,temperature,mercury,thermometer,C,temperature mercury thermometer
RL006-3,temperature,mercury,thermometer,C,temperature mercury thermometer
RL006-4,temperature,mercury,thermometer,C,temperature mercury thermometer
RL006-5,temperature,mercury,thermometer,C,temperature mercury thermometer
RL007,temperature,mercury,thermometer,C,temperature mercury thermometer
RP001,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RP001,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RP001,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RP001,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RP001,boron,B-w,water sample,mg/L,B concentration in a water sample
RP001,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RP001,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RP001,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RP001,flourine,F-w,water sample,mg/L,F concentration in a water sample
RP001,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
RP001,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RP001,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RP001,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RP001,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RP001,ph,ph,sample,,degree of acidity or alkalinity of a sample
RP001,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RP001,potassium,K-w,water sample,mg/L,K concentration in a water sample
RP001,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RP001,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RP001,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RP001,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RP001,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RP001,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
RP002,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RP002,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RP002,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RP002,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RP002,boron,B-w,water sample,mg/L,B concentration in a water sample
RP002,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RP002,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RP002,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RP002,flourine,F-w,water sample,mg/L,F concentration in a water sample
RP002,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
RP002,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RP002,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RP002,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RP002,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RP002,ph,ph,sample,,degree of acidity or alkalinity of a sample
RP002,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RP002,potassium,K-w,water sample,mg/L,K concentration in a water sample
RP002,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RP002,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RP002,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RP002,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RP002,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RP002,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
RP003,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RP003,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
RR001,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RR001,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RR001,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RR001,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RR001,boron,B-w,water sample,mg/L,B concentration in a water sample
RR001,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RR001,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RR001,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RR001,flourine,F-w,water sample,mg/L,F concentration in a water sample
RR001,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
RR001,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RR001,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RR001,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RR001,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RR001,ph,ph,sample,,degree of acidity or alkalinity of a sample
RR001,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RR001,potassium,K-w,water sample,mg/L,K concentration in a water sample
RR001,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RR001,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RR001,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RR001,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RR001,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RR001,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
RR002,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RR002,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RR002,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RR002,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RR002,boron,B-w,water sample,mg/L,B concentration in a water sample
RR002,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RR002,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RR002,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RR002,flourine,F-w,water sample,mg/L,F concentration in a water sample
RR002,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
RR002,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RR002,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RR002,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RR002,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RR002,ph,ph,sample,,degree of acidity or alkalinity of a sample
RR002,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RR002,potassium,K-w,water sample,mg/L,K concentration in a water sample
RR002,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RR002,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RR002,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RR002,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RR002,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RR002,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
RR003,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RR003,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RR003,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RR003,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RR003,boron,B-w,water sample,mg/L,B concentration in a water sample
RR003,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RR003,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RR003,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RR003,flourine,F-w,water sample,mg/L,F concentration in a water sample
RR003,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
RR003,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RR003,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RR003,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RR003,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RR003,ph,ph,sample,,degree of acidity or alkalinity of a sample
RR003,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RR003,potassium,K-w,water sample,mg/L,K concentration in a water sample
RR003,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RR003,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RR003,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RR003,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RR003,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RR003,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
RR004,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RR004,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RR004,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RR004,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RR004,boron,B-w,water sample,mg/L,B concentration in a water sample
RR004,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RR004,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RR004,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RR004,flourine,F-w,water sample,mg/L,F concentration in a water sample
RR004,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
RR004,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RR004,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RR004,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RR004,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RR004,ph,ph,sample,,degree of acidity or alkalinity of a sample
RR004,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RR004,potassium,K-w,water sample,mg/L,K concentration in a water sample
RR004,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RR004,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RR004,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RR004,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RR004,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RR004,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
RR005,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RR005,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RR005,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RR005,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RR005,boron,B-w,water sample,mg/L,B concentration in a water sample
RR005,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RR005,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RR005,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RR005,flourine,F-w,water sample,mg/L,F concentration in a water sample
RR005,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
RR005,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RR005,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RR005,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RR005,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RR005,ph,ph,sample,,degree of acidity or alkalinity of a sample
RR005,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RR005,potassium,K-w,water sample,mg/L,K concentration in a water sample
RR005,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RR005,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RR005,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RR005,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RR005,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RR005,temperature,thermocouple,thermometer,C,temperature thermocouple thermometer
RR1021,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RR1021,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RR1021,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RR1021,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RR1021,boron,B-w,water sample,mg/L,B concentration in a water sample
RR1021,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RR1021,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RR1021,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RR1021,flourine,F-w,water sample,mg/L,F concentration in a water sample
RR1021,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
RR1021,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RR1021,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RR1021,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RR1021,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RR1021,ph,ph,sample,,degree of acidity or alkalinity of a sample
RR1021,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RR1021,potassium,K-w,water sample,mg/L,K concentration in a water sample
RR1021,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RR1021,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RR1021,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RR1021,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RR1021,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RR1076,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RR1076,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RR1076,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RR1076,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RR1076,boron,B-w,water sample,mg/L,B concentration in a water sample
RR1076,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RR1076,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RR1076,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RR1076,flourine,F-w,water sample,mg/L,F concentration in a water sample
RR1076,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
RR1076,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RR1076,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RR1076,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RR1076,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RR1076,ph,ph,sample,,degree of acidity or alkalinity of a sample
RR1076,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RR1076,potassium,K-w,water sample,mg/L,K concentration in a water sample
RR1076,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RR1076,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RR1076,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RR1076,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RR1076,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RR12183,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RR12183,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RR12183,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RR12183,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RR12183,boron,B-w,water sample,mg/L,B concentration in a water sample
RR12183,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RR12183,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RR12183,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RR12183,flourine,F-w,water sample,mg/L,F concentration in a water sample
RR12183,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
RR12183,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RR12183,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RR12183,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RR12183,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RR12183,ph,ph,sample,,degree of acidity or alkalinity of a sample
RR12183,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RR12183,potassium,K-w,water sample,mg/L,K concentration in a water sample
RR12183,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RR12183,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RR12183,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RR12183,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RR12183,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RR887,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RR887,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RR887,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RR887,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RR887,boron,B-w,water sample,mg/L,B concentration in a water sample
RR887,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RR887,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RR887,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RR887,flourine,F-w,water sample,mg/L,F concentration in a water sample
RR887,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
RR887,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RR887,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RR887,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RR887,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RR887,ph,ph,sample,,degree of acidity or alkalinity of a sample
RR887,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RR887,potassium,K-w,water sample,mg/L,K concentration in a water sample
RR887,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RR887,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RR887,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RR887,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RR887,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RR913,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RR913,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RR913,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RR913,bicarbonate,HCO3-w,water sample,mg/L,HCO3 concentration in a water sample
RR913,boron,B-w,water sample,mg/L,B concentration in a water sample
RR913,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RR913,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RR913,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RR913,flourine,F-w,water sample,mg/L,F concentration in a water sample
RR913,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
RR913,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RR913,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RR913,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RR913,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RR913,ph,ph,sample,,degree of acidity or alkalinity of a sample
RR913,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RR913,potassium,K-w,water sample,mg/L,K concentration in a water sample
RR913,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RR913,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RR913,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RR913,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
RR913,sulphate,SO4-w,water sample,mg/L,SO4 concentration in a water sample
RU000,carbon dioxide flux,CO2-flux-a,contour,kg/s,"flux of carbon dioxide measured in the air aircraft flies through a plume at different altitudes, a pump inside the aircraft sucks in gases and instruments measure the concentration"
RU000,hydrogen sulphide flux,H2S-flux-a,contour,kg/s,"flux of hydrogen sulphide measured in the air aircraft flies through a plume at different altitudes, a pump inside the aircraft sucks in gases and instruments measure the concentration"
RU000,sulphur dioxide flux,SO2-flux-a,contour,kg/s,"flux of sulphur dioxide measured in the air aircraft flies through a plume at different altitudes, a pump inside the aircraft sucks in gases and instruments measure the concentration"
RU000,sulphur dioxide flux,cospec,SO2-flux-a,kg/s,"flux of sulphur dioxide measured in the air correlation spectrometer measures absorption of ultraviolet light by SO2, flying beneath a plume"
RU000,sulphur dioxide flux,flyspec,SO2-flux-a,kg/s,"flux of sulphur dioxide measured in the air miniaturized UV spectrometer system measures absorption of ultraviolet light by SO2, flying beneath a plume"
RU001,aluminium,Al-w,water sample,mg/L,Al concentration in a water sample
RU001,ammonia,NH3-w,water sample,mg/L,NH3 concentration in a water sample
RU001,arsenic,As-w,water sample,mg/L,As concentration in a water sample
RU001,boron,B-w,water sample,mg/L,B concentration in a water sample
RU001,bromide,Br-w,water sample,mg/L,Br concentration in a water sample
RU001,caesium,Cs-w,water sample,mg/L,Cs concentration in a water sample
RU001,calcium,Ca-w,water sample,mg/L,Ca concentration in a water sample
RU001,chloride,Cl,sample,mg/L,concentration in a sample
RU001,chloride,Cl-w,water sample,mg/L,Cl concentration in a water sample
RU001,flourine,F-w,water sample,mg/L,F concentration in a water sample
RU001,flow rate,velocity,channel,l/s,"flow rate of fluid in a channel low rate is determined by the product of velocity and channel cross-sectional area, with a roughness factor (of 0.7)"
RU001,height,flexible,ruler,m,height flexible ruler
RU001,hydrogen sulphide,H2S-w,water sample,mg/L,H2S concentration in a water sample
RU001,iron,Fe-w,water sample,mg/L,Fe concentration in a water sample
RU001,lithium,Li-w,water sample,mg/L,Li concentration in a water sample
RU001,magnesium,Mg,sample,mg/L,concentration in a sample
RU001,magnesium,Mg-w,water sample,mg/L,Mg concentration in a water sample
RU001,nitrate as nitrogen,NO3-N-w,water sample,mg/L,NO3-N concentration in a water sample
RU001,ph,ph,sample,,degree of acidity or alkalinity of a sample
RU001,phosphate as phosphorus,PO4-P-w,water sample,mg/L,PO4-P concentration in a water sample
RU001,potassium,K-w,water sample,mg/L,K concentration in a water sample
RU001,ratio 18O:16O,d18O-w,water,per mil,"d18O concentration  in water, relative to standard"
RU001,ratio 2H:1H,d2H-w,water,per mil,"d2H concentration in water, relative to standard"
RU001,rubidium,Rb-w,water sample,mg/L,Rb concentration in a water sample
RU001,silicon dioxide,SiO2-w,water sample,mg/L,SiO2 concentration in a water sample
RU001,sodium,Na-w,water sample,mg/L,Na concentration in a water sample
